iter	Logloss
0	0.6903013229
1	0.6855885824
2	0.6816491445
3	0.6772990545
4	0.6727666855
5	0.6683779399
6	0.6641112645
7	0.6600496928
8	0.6561252594
9	0.652288119
10	0.6504503886
11	0.6461926142
12	0.6424624125
13	0.6398097992
14	0.6372879664
15	0.6346722285
16	0.630681928
17	0.6269556681
18	0.6235693614
19	0.6202501297
20	0.616601181
21	0.6135637919
22	0.6116885503
23	0.6092400869
24	0.6072052002
25	0.605564181
26	0.6039798101
27	0.6013933818
28	0.5994879405
29	0.5980450948
30	0.5960493724
31	0.5933725993
32	0.590988032
33	0.5890302658
34	0.5883238475
35	0.5861197154
36	0.5852682114
37	0.583601888
38	0.5823014577
39	0.5783438365
40	0.5767484029
41	0.5747781118
42	0.5732879003
43	0.5723941803
44	0.5705055237
45	0.5694218953
46	0.5670906067
47	0.5660154978
48	0.5636810939
49	0.5605626424
